"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.475508500E0,-4.066780970E-2,2.626208206E-1,-5.149973778E0
2.485490500E0,-3.758642298E-2,2.985673097E-1,-5.150624573E0
2.495472500E0,-2.277097180E-2,2.866106308E-1,-4.845222160E0
2.505454500E0,-7.773580849E-3,2.494718944E-1,-4.455721584E0
2.515436500E0,-1.865761547E-2,2.093203801E-1,-4.078760946E0
2.525418500E0,-3.946664086E-2,1.429923432E-1,-3.552284081E0
2.535400500E0,-4.024695178E-2,5.956266224E-2,-2.775377401E0
2.545381500E0,2.638391610E-3,-3.319639742E-2,-1.836866544E0
2.555363500E0,1.961667761E-2,-1.073371916E-1,-9.309650248E-1
2.565345500E0,-2.047717762E-2,-1.627712810E-1,-1.197422057E-1
2.575327500E0,-5.349816771E-2,-2.055784544E-1,7.277526462E-1
2.585309500E0,-2.202637000E-2,-2.305329090E-1,1.700941585E0
2.595291500E0,5.512345612E-2,-2.599400184E-1,2.653788060E0
2.605273500E0,6.949814145E-2,-2.425717413E-1,3.375029247E0
2.615255500E0,-2.501091678E-3,-2.310024405E-1,3.913611603E0
2.625237500E0,-4.820274649E-2,-2.283665156E-1,4.374319571E0
2.635218500E0,-1.238783799E-2,-2.321514183E-1,4.749400914E0
2.645200500E0,5.957141479E-2,-2.697069150E-1,4.995446486E0
2.655182500E0,7.877995675E-2,-2.925818074E-1,5.026571800E0
2.665164500E0,1.924727976E-2,-3.173164067E-1,4.792700715E0
2.675146500E0,-3.696924023E-2,-3.665189722E-1,4.389645708E0
2.685128500E0,-2.123257393E-2,-4.217006081E-1,3.917385980E0
2.695110500E0,3.367630765E-2,-4.931360418E-1,3.358618451E0
2.705092500E0,6.383536890E-2,-5.396901110E-1,2.669648632E0
2.715074500E0,7.914361702E-3,-5.586627178E-1,1.820900137E0
2.725055500E0,-4.971423347E-2,-5.424676846E-1,8.486695576E-1
2.735037500E0,-4.254602216E-2,-5.015405372E-1,-8.081261337E-2
2.745019500E0,1.743064122E-3,-4.489701216E-1,-8.586805755E-1
2.755001500E0,4.093105774E-3,-3.763028258E-1,-1.644905378E0
2.764983500E0,-3.101534030E-2,-2.651210900E-1,-2.537762929E0
2.774965500E0,-5.435176070E-2,-1.367212044E-1,-3.340970385E0
2.784947500E0,-3.402870289E-2,-3.137908280E-2,-3.876113409E0
2.794929500E0,-1.495067261E-2,7.586747691E-2,-4.254010186E0
2.804911500E0,-1.960418376E-2,1.608028159E-1,-4.550514305E0
2.814892500E0,-4.258788000E-2,2.406108776E-1,-4.829160444E0
2.824874500E0,-4.816278443E-2,2.820756765E-1,-4.942070178E0
2.834856500E0,-2.763561311E-2,2.818694159E-1,-4.730044291E0
2.844838500E0,-1.375683563E-2,2.654631521E-1,-4.324506556E0
2.854820500E0,-9.298461601E-3,2.177140582E-1,-3.913277142E0
2.864802500E0,-3.046733743E-2,1.620912498E-1,-3.452023044E0
2.874784500E0,-3.638070884E-2,8.368651986E-2,-2.804526941E0
